G_IDX,G_NAME,G_ENAME,G_GENRE,G_COMPANY,G_SERVICE,G_PLATFORM,G_DATE,G_SCORE,G_IMG
4132,아우라 킹덤,AURA KINGDOM, RPG, 엑스레전드코리아, 엑스레전드코리아, PC온라인,2014-12-18,0,https://static.inven.co.kr/column/webzine3/gamelogo/2015/0310_7715.jpg
4133,출조낚시왕,-, 시뮬레이션, 마이뉴칠드런, 한게임, PC온라인,2011-07-07,0,https://static.inven.co.kr/column/webzine3/gamelogo/2010/0305_3437.jpg
4134,파천일검,-, RPG, 매직스, 매직스, PC온라인, -,0,https://static.inven.co.kr/column/webzine3/gamelogo/2008/1226_6487.jpg
4135,파천일검2,-, RPG, 매직스, 매직스, PC온라인,2006-12-14,0,https://static.inven.co.kr/column/webzine3/gamelogo/2008/1226_8102.jpg
4136,최강의 군단,-, RPG, 에이스톰, 에이스톰, PC온라인,2013-12-10,0,https://static.inven.co.kr/column/webzine3/gamelogo/2013/1216_2471.jpg
4137,파이팅스타,Fighting star, 액션, 스마일게이트, 에스지인터넷, PC온라인, -,0,https://static.inven.co.kr/column/webzine3/gamelogo/2013/1206_2820.jpg
4138,아스테르 온라인,-, RPG, 샨다, 위메이드, PC온라인, -,0,https://static.inven.co.kr/column/webzine3/gamelogo/2010/0614_7553.jpg
4139,아스타,ASTA, RPG, 폴리곤게임즈, NHN 엔터테인먼트, PC온라인,2013-10-21,0,https://static.inven.co.kr/column/webzine3/gamelogo/2013/1204_3027.jpg
4140,천신온라인,-, RPG, 쿤룬코리아, 쿤룬코리아," 모바일, 안드로이드",2013-06-04,0,https://static.inven.co.kr/column/webzine3/gamelogo/2015/0310_3307.jpg
4141,천룡에 취하다,-, RPG, 팍스게임, -, PC온라인,2014-02-27,0,https://static.inven.co.kr/column/webzine3/gamelogo/2015/0310_2899.jpg
4142,천년,-, RPG, 아이덴티티 엔터테인먼트, 아이덴티티 엔터테인먼트, PC온라인,2000-04-19,0,https://static.inven.co.kr/column/webzine3/gamelogo/2008/1226_5452.jpg
4143,차구차구,cha9cha9, 스포츠, 넷마블앤파크, 넷마블게임즈, PC온라인,2013-04-10,0,https://static.inven.co.kr/column/webzine3/gamelogo/2014/0612_3127.jpg
4144,짱구는 못말려 온라인,-, 기타, 대원미디어, JUNEiNTER, PC온라인,2012-06-07,0,https://static.inven.co.kr/column/webzine3/gamelogo/2015/0310_7754.jpg
4145,짱 온라인,-, 액션, 무한게임, 신지소프트, PC온라인,2008-12-18,0,https://static.inven.co.kr/column/webzine3/gamelogo/2008/1226_4933.jpg
4146,파워레인저 온라인,Power Rangers Online, RPG, 엔트리브소프트, 엔트리브소프트, PC온라인,2012-12-20,0,https://static.inven.co.kr/column/webzine3/gamelogo/2011/0920_3181.jpg
4147,파괴자,-, RPG, 아이엠아이, 아이엠아이, PC온라인, -,0,https://static.inven.co.kr/column/webzine3/gamelogo/2015/0310_5855.jpg
4148,티탄온라인,TITAN Online, RPG, 와우소프트, 와우소프트, 웹브라우저,2013-03-29,0,https://static.inven.co.kr/column/webzine3/gamelogo/2015/0310_2758.jpg
4149,트라이워 온라인,-, RPG, 티젝스, 다인게임즈, PC온라인,2014-08-14,0,https://static.inven.co.kr/column/webzine3/gamelogo/2015/0310_5495.jpg
4150,메모리 오브 아리아,Memory of Aria, RPG, 큐로아, 큐로아, PC온라인, -,0,https://static.inven.co.kr/column/webzine3/gamelogo/2008/1001_2077.jpg
4151,5P맞고,-, 보드, 조이토토, 올리브게임, PC온라인, 2007년 9월 12일 OBT,0,https://static.inven.co.kr/column/webzine3/gamelogo/2008/0911_4979.jpg
4152,로한: 컨쿼러,-, RPG, 플레이위드, 플레이위드, PC온라인, -,0,https://static.inven.co.kr/image/webzine/s3/common/gamedb_165x115_preparing.png
4153,X온라인,X Online, RPG, 녹스엔터테인먼트, 녹스엔터테인먼트, PC온라인, -,0,https://static.inven.co.kr/image/webzine/s3/common/gamedb_165x115_preparing.png
