G_IDX,G_NAME,G_GENRE,G_COMPANY,G_SERVICE,G_PLATFORM
9144,IMO: The World of Magic,RPG,컴투스,컴투스,iOS
9145,뽀잉뽀잉,기타,루비콘게임즈,-,웹브라우저
9146,리블리 아일랜드,RPG,YNK코리아,YNK코리아,PC온라인
9147,크로이센,RPG,KTH,-,모바일
9148,레드 데드 리뎀션: 건슬링거즈,슈팅,락스타 게임즈,락스타 게임즈,PS3/ XBOX360
9149,슈퍼액션 히어로 4,RPG,컴투스,컴투스,모바일
9150,놈4,액션,컴투스홀딩스,컴투스홀딩스,모바일
9151,소셜 시티,보드,페이스북,페이스북,웹브라우저
9152,야구전설,스포츠,엔터플라이,컴투스홀딩스,모바일
9153,미스터 CEO,시뮬레이션,도버게임즈,넷마블,웹브라우저
9154,일검향,RPG,지원인터렉티브,지원인터렉티브,PC온라인
9155,웹게임: 봉신연의,시뮬레이션,키스인터랙티브,키스인터랙티브,웹브라우저
9156,네이비포스,시뮬레이션,게임플루,게임플루,웹브라우저
9157,사천성,보드,엠게임,엠게임,웹브라우저
9158,서든 어택 포켓2,슈팅,넥슨지티,넷마블게임즈,모바일
9159,프린세스 메이커 온라인,RPG,가이낙스,엠게임,PC온라인
9160,부유천하,시뮬레이션,블루솜,싸이이비즈,웹브라우저
9161,테트리스 미션 2010,퍼즐,컴투스,컴투스,모바일
9162,데드 오어 얼라이브 파라다이스,스포츠,코에이테크모,코에이테크모,PSP
9163,삼국지 디펜스,RPG,컴투스,컴투스,모바일
9164,대난투 스매시브라더스10,RPG,한국닌텐도,한국닌텐도,Wii
9165,웹 프로야구,RPG,블라스트,블라스트,웹브라우저
9166,몽키즈타이쿤,RPG,-,-,모바일
9167,볼츠 앤 블립,RPG,드래곤플라이,드래곤플라이,PC온라인
9168,파워풀 프로야구 KBO'10,RPG,코나미,코나미,모바일
9169,헬게이트: 도쿄,RPG,한빛소프트,한빛소프트,PC온라인
9170,소울헌터라키,RPG,지앤씨인터렉티브,지앤씨인터렉티브,모바일
9171,레저넌스 오브 페이트,RPG,tri-ACE,SCEK,PS3/ XBOX360
9172,크랙다운 2,슈팅,마이크로소프트,마이크로소프트,XBOX360
9173,드래곤에이지 오리진 - 어웨이크닝,RPG,일렉트로닉아츠,일렉트로닉아츠,PC온라인
9174,몬스터헌터 포터블 3rd,액션,캡콤,캡콤,PS3/ PSP
9987,스매시코트 테니스3 (X360),스포츠,반다이남코 엔터테인먼트,반다이남코 엔터테인먼트,XBOX360
9988,블랙사이트: 51구역,FPS,미드웨이,미드웨이,PC패키지
9989,코스믹 브레이크,액션,JUNEiNTER,JUNEiNTER,PC온라인
9990,GA2,RPG,JUNEiNTER,JUNEiNTER,PC온라인
9991,한솔 DS단원학습,기타,씨티게임 엔터테인먼트,씨티게임 엔터테인먼트,NDS
9992,데이어스 EX : 휴먼 레볼루션,RPG,에이도스 인터랙티브,에이도스 인터랙티브,PC패키지
9993,이노센트 라이프,시뮬레이션,마벨러스 엔터테인먼트,유니아나,PSP
9994,버추어 파이터5,액션,세가,세가,PS3/ XBOX360
9995,짜요짜요타이쿤3,시뮬레이션,엠조이넷,엠조이넷,모바일
9996,놀러오세요 동물의 숲 (NDS),시뮬레이션,닌텐도,닌텐도,NDS
9997,아크로팡팡,액션,비엠 소프트,GFgame,PC온라인
9998,EZ2ON,액션,레트로 게임즈,레트로 게임즈,PC온라인
9999,비바 피냐타:신나는 파티,기타,크롬 스튜디오,마이크로소프트,XBOX360
10000,NBA 2K8,스포츠,2K Games,2K Games,XBOX/ XBOX360
10001,러브비트,액션,크레이지 다이아몬드,엔씨소프트,PC온라인
10002,디큐브 온라인,액션,스윙소프트,스윙소프트,PC온라인
10003,SD건담 G 제네레이션 (PS2),시뮬레이션,반다이남코 엔터테인먼트,반다이남코 엔터테인먼트,PS2
10004,스파이크걸즈,스포츠,모본,한빛소프트,PC온라인
